6.59958 0.0
6.60625 0.0
6.61292 0.0
6.61958 0.0
6.62625 0.0
6.63292 0.0
6.63958 0.0
6.64625 0.0
6.65292 0.0
6.65958 0.0
6.66625 0.0
6.67292 0.0
6.67958 0.0
6.68625 0.0
6.69292 0.0
6.69958 0.0
6.70625 0.0
6.71292 141.0
6.71958 483.0
6.72625 1063.0
6.73292 2008.0
6.73958 3496.0
6.74625 5759.0
6.75292 9085.0
6.75958 13804.0
6.76625 20285.0
6.77292 28903.0
6.77958 40001.0
6.78625 53853.0
6.79292 70615.0
6.79958 90275.0
6.80625 112611.0
6.81292 137168.0
6.81958 163251.0
6.82625 189944.0
6.83292 216153.0
6.83958 240691.0
6.84625 262370.0
6.85292 280112.0
6.85958 293041.0
6.86625 300573.0
6.87292 302461.0
6.87958 298816.0
6.88625 290076.0
6.89292 276946.0
6.89958 260316.0
6.90625 241171.0
6.91292 220495.0
6.91958 199199.0
6.92625 178074.0
6.93292 157752.0
6.93958 138701.0
6.94625 121222.0
6.95292 105476.0
6.95958 91509.0
6.96625 79274.0
6.97292 68658.0
6.97958 59515.0
6.98625 51680.0
6.99292 44984.0
6.99958 39268.0
7.00625 34384.0
7.01292 30205.0
7.01958 26619.0
7.02625 23532.0
7.03292 20865.0
7.03958 18555.0
7.04625 16551.0
7.05292 14808.0
7.05958 13289.0
7.06625 11962.0
7.07292 10799.0
7.07958 9775.0
7.08625 8868.0
7.09292 8067.0
7.09958 7354.0
7.10625 6718.0
7.11292 6150.0
7.11958 5644.0
7.12625 5197.0
7.13292 4799.0
7.13958 4441.0
7.14625 4119.0
7.15292 3831.0
7.15958 3573.0
7.16625 3337.0
7.17292 3119.0
7.17958 2918.0
7.18625 2734.0
7.19292 2566.0
7.19958 2410.0
7.20625 2268.0
7.21292 2138.0
7.21958 2018.0
7.22625 1905.0
7.23292 1799.0
7.23958 1700.0
7.24625 1605.0
7.25292 1517.0
7.25958 1435.0
7.26625 1359.0
7.27292 1286.0
7.27958 1217.0
7.28625 1152.0
7.29292 1088.0
7.29958 1025.0
7.30625 964.0

